id,male,female,meaning_en,meaning_it,source
1,,Gunnlod,Blood,Sangue,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):328.
34,,Geirthriful,She who grasps the spear,Colei che afferra la lancia,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):308.
35,,Geirthrudr,Strenght/Woman of the spear,Forza/donna della lancia,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):308.
36,,Geirolul,She who advances armed with a spear,Colei che avanza armata di lancia,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):308-309.
37,,Herja,Warrior,Guerriera,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):309.
38,,Herthogn,She who welcomes the army,Colei che accoglie l'esercito,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):309.
39,,HjalmThrimul,She of the thunderous helm,Colei che indossa l’elmo risonante,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):309.
40,,Hjorthrimul,She of the thunderous sword,Colei che ha la spa da risonante,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):309.
41,,Hrund,She who hits,Colei che colpisce,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):309.
42,,Sigrlod,She who leads to victory,Colei che invita alla vittoria,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):309.
43,,Skalmold,Time of the swords (Battle),Tempo delle spade (Battaglia),Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):309.
44,,Sveid,Roar of the battle,Fragore della battaglia,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):309.
45,,Valthogn,She who welcomes the chosen ones,Colei che accoglie i prescelti,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):309.
46,,Thrima,Battle,Battaglia,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):309.
47,,Nipt,Sister,Sorella,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):309.
48,,Gondul,Sorceress,Maga,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):309.
49,,Leikn,Very cruel,Molto crudele,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):309.
50,,Tanngnidr,Who gnashes his teeth,Che digrigna i denti,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):309.
51,,Ilmr,Goddess,Dea,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):309.
52,,Svipul,Changing,Mutevole,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):309.
53,,Thogn,Taciturn,Taciturna,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):309.
