id,male,meaning_en,meaning_it,source
1,Nui,New,Nuovo,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
87,Nali,Corpse,Cadavere,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
88,Sjarr,He who disappears,Colui che scompare,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
89,Sviarr,He who disappears,Colui che scompare,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
90,Sviurr,He who disappears,Colui che scompare,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
91,Billingr,Twin,Gemello,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
92,Burinn,Son,Figlio,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
93,Buri,Son,Figlio,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
94,Ingi,Forefather,Progenitore,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
95,Yngvi,Forefather,Progenitore,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
96,Olnir,Son,Figlio,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
97,Nefi,Grandchild,Nipote,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
98,Ann,Great friend,Ottimo amico,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
99,Onn,Great friend,Ottimo amico,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
100,Thrain,Fruitful,Proficuo,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
101,Thrar,Fruitful,Proficuo,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
102,Dulinn,Hidden,Nascosto,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
103,Dagfinnr,He who finds the day,Colui che trova il giorno,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
104,Blainn,Dark,Scuro,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
105,Blindvidr,Broadly blind,Ampiamente cieco,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
106,Bruni,Dark,Scuro,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
107,Nipingr,Dark,Oscuro,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
108,Nyr,New,Nuovo,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
109,Jaki,Frozen,Ghiacciato,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
110,Forve,Guardian of sacred places,Guardiano dei luoghi sacri,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
111,Gustr,Gust of wind,Raffica di vento,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
112,Reginn,Powerful,Potente,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
113,Jari,Eager for battle,Desideroso di combattere,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
114,Thrasir,Threatening,Minaccioso,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
115,Ivaldi,Skilled with the bow,Colui che ha abilità nell'arco,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
116,Eitri,Poisonous/Enraged,Velenoso/Infuriato,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
117,Brokkr,Fragment,Frammento,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
118,Nabbi,Point,Punta,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
119,Berlingr,Little beam,Piccola trave,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
120,Uni,Happy,Contento,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
121,Iri,Skilled in magic,Esperto di magia,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
122,Uri,Smith,Fabbro,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
123,Lidskjalfr,Dangling,Ciondolante,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
124,Atvardr,Guardian of stone dwellings,Guardiano delle dimore di pietra,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
125,Hanarr,Skilled,Abile,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
126,Heptifili,He who smooths the handles with the file,Colui che spiana i manici con la lima,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
127,Næfi,Capable,Capace,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
128,Sindri,Spark,Scintilla,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
129,Skafidr,Scraper,Raschiatore,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
130,Skirfir,Skilled artisan,Abile artigiano,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
131,Veggr,Wedge,Cuneo,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
132,Frar,Swift,Lesto,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
133,Frægr,Famous,Famoso,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
134,Thiodrerir,People’s instigator,Fomentatore del popolo,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
135,Dellingr,Spell knowledge,Conoscenza di un incantesimo,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
136,Fjollsvidr,Very wise,Molto sapiente,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
137,Muninn,Memory,Memoria,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
138,Nyradr,Counsel,Consiglio,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
139,Radspakr,Insightful counsel,Consiglio perspicace,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
140,Radsvidr,Wise counsel,Consiglio intelligente,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
141,Fjalarr,Very wise,Molto sapiente,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
142,Galarr,He who chants magically,Colui che canta magicamente,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
143,Farli,Traveller,Viaggiatore,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
144,Hugstari,Fixed thought,Pensiero fisso,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
145,Hogstari,Blow-resistant,Resistente ai colpi,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
146,Buinn,Ready,Pronto,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
147,Onarr,Instigated,Fomentato,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
148,Mjodvitnir,Mead thief,Ladro di idromele,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
149,Althjolfr,Raider,Razziatore,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
150,Skaverr,Crooked,Sghembo,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
151,Tigr,Suspicious,Sospettoso,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
152,Vili,Wretched,Misero,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
153,Thulinn,Muttering,Borbottante,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
154,Lofarr,Praiser,Lodatore,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
155,Gandalfr,Deceiving elf (Same as Elvish. some Dwarven names are connected to the word 'elf'),Elfo ingannatore (Come in elfico. Alcuni nomi nanici sono connessi alla parola 'elfo'),Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
